latitude,longitude
-77.708336,-178.70833
-77.35417,-158.27084
-77.20333,-152.98666
-76.95657,-151.64201
-75.690475,-147.70238
-75.69444,-147.31944
-75.59754,-58.514206
-75.751305,-56.56901
-76.55191,-53.43784
-77.02395,-51.310345
-77.21666,-49.775
-77.70192,-46.11859
-77.70833,-44.625
-77.19444,-33.9127
-76.72222,-31.583334
-76.192856,-28.988094
-75.57179,-26.560898
-75.333336,-24.458334
-75.749054,164.05492
-77.02719,166.05614
-77.24872,168.62949
-77.19079,171.50438
-77.710144,177.0616
-77.708336,178.75
-73.0,-179.91667
-75.166664,-142.75
-74.70833,-136.79166
-74.166664,-132.70833
-73.00165,-130.80032
-73.07934,-128.58583
-72.96829,-126.2087
-73.0,-123.708336
-73.041664,-122.333336
-73.666664,-115.125
-73.71667,-114.11944
-72.833336,-92.375
-72.833336,-60.291668
-74.55272,-59.418365
-74.80916,-25.601145
-74.08996,-23.848722
-73.35112,-21.305666
-72.97222,-19.044271
-74.6271,164.69485
-73.95953,166.04486
-73.37563,169.01523
-73.36184,170.17325
-73.41338,174.04855
-73.65821,176.25383
-73.3189,178.40547
-71.35702,-179.04015
-70.5,-175.29166
-70.5,-173.70833
-70.5,-171.20833
-70.5,-168.70833
-70.5,-166.20833
-70.5,-163.70833
-70.48809,-162.39285
-70.49823,-158.2438
-70.5,-156.20833
-70.707115,-153.53285
-70.75,-151.20833
-70.8421,-148.58992
-70.89458,-146.34337
-70.777374,-143.71948
-70.94701,-141.2129
-70.73068,-138.80602
-70.5,-136.20833
-70.5,-133.70833
-72.329124,-130.7584
-72.22137,-128.45065
-71.608925,-126.13541
-71.541664,-123.708336
-71.5,-121.208336
-71.19777,-118.813126
-70.89992,-116.342705
-70.72999,-113.79907
-70.5,-111.208336
-70.495026,-109.39801
-71.975,-102.63334
-71.72222,-101.80556
-71.434296,-98.17789
-71.171875,-95.93326
-71.35063,-93.63919
-71.26297,-91.27007
-71.365616,-88.67146
-71.51007,-86.20771
-71.52396,-83.69795
-71.494705,-81.23363
-71.29528,-78.75439
-71.32672,-76.86442
-72.489586,-60.26637
-72.471016,-59.836956
-70.63531,-30.840502
-70.75,-28.708334
-70.9405,-26.098486
-71.17617,-23.585505
-71.541664,-21.208334
-71.49884,-18.747684
-71.25499,-16.267275
-71.09861,-13.77691
-71.01905,-11.630953
-70.70833,-9.916667
-70.44842,-6.9722223
-71.083336,-4.7083335
-70.83817,169.31935
-70.928696,171.45811
-71.51002,173.817
-71.541664,176.29167
-71.541664,178.75
-69.03627,-178.71317
-69.0128,-176.19937
-69.041664,-173.70833
-69.041664,-171.20833
-69.041664,-168.70833
-69.041664,-166.20833
-69.041664,-163.70833
-69.001434,-161.20973
-69.02534,-158.6982
-69.041664,-156.20833
-69.041664,-153.70833
-69.041664,-151.20833
-69.041664,-148.70833
-69.041664,-146.20833
-69.041664,-143.70833
-69.041664,-141.20833
-69.041664,-138.70833
-69.041664,-136.20833
-69.041664,-133.70833
-68.93196,-131.27443
-68.726265,-128.74564
-68.735565,-126.0787
-69.041664,-123.708336
-69.041664,-121.208336
-69.041664,-118.708336
-69.041664,-116.208336
-69.041664,-113.708336
-69.041664,-111.208336
-69.02119,-108.718925
-69.0,-106.208336
-68.8953,-103.764984
-69.0,-101.208336
-69.0,-98.708336
-69.02119,-96.19774
-69.041664,-93.708336
-69.047,-91.2266
-69.041664,-88.708336
-69.041664,-86.208336
